Event Name,Club,Description,Date,Start Time,End Time,Place,Capacity,Number of Attendees,Number on Waitlist,Tags
Boiling Water Workshop,UBC Cooking Club,Learn to Boil Water!,2026-01-16,5:00 PM,6:00 PM,Tallwood Collegia,50,50,10,"Creative, Cooking, Food"
Poke Workshop,UBC Cooking Club,Learn to make a Poke bowl at home.,2026-01-19,4:00 PM,6:00 PM,Tallwood Collegia,30,25,0,"Creative, Cooking, Food"
Cupcake Workshop,UBC Baking Club,Learn how to bake cupcakes.,2026-01-19,6:30 PM,8:00 PM,Brock Collegium,20,20,20,"Creative, Baking, Food"
Icing Workshop,UBC Baking Club,Learn how to make and use icing,2026-01-20,6:30 PM,8:00 PM,Brock Collegium,20,10,0,"Creative, Baking, Food"
Colorful Conversations,UBC Queer-Coded,Connect with other queer folk and network with professors!,2026-01-21,4:00 PM,6:00 PM,Computer Science Building,50,30,0,"Social, Networking"
Drop-In Session,UBC Badminton,Drop in for a quick badminton game!,2026-01-20,12:00 PM,4:00 PM,Student Recreation Centre,60,60,100,Sport
Networking Night,UBC BizTech,Network with other like-minded people in the business and tech industry!,2026-01-23,5:30 PM,7:00 PM,Sauder Building,70,60,0,"Networking, Business, Tech"
Project Showcase,UBC Launchpad,Showcase your term projects!,2026-01-26,5:30 PM,6:30 PM,Buchanan Building,40,39,0,"Business, Tech"
Movie Night,UBC HKSA,Cozy up and watch a movie with friends!,2026-01-26,5:00 PM,7:00 PM,Arts Student Centre,30,30,0,"Social, Movie"
Dance Workshop,UBC Bangra,Join us for a dance session!,2026-01-27,5:00 PM,6:00 PM,Student Recreation North,20,20,2,"Dance, Music"
Weekly Langai,UBC SSA,Enjoy free food.,2026-01-27,6:00 PM,8:00 PM,AMS Student Nest,80,73,0,Food
Jam Session,UBC Music Initiative,Jam out with your fellow musicians!,2026-01-29,4:00 PM,6:00 PM,Chan Centre,50,50,5,"Social, Music"
